Seed	Start_X	Start_Z	Portal_X	Portal_Z	Distance
1040587980606700923	-1	-91	-64	-1456	982
-6320264135343836724	-16	-112	-288	-1792	1928
8872347732733265753	86	116	1344	1888	2318
7731811127109102185	112	31	1776	544	1867
3733384933312102095	-3	89	-32	1376	1194
-5980035037971006773	-30	-111	-480	-1840	1902
2570893279573682892	-154	3	-2416	64	2417
-7108468219362231812	-40	87	-608	1408	1534
-7263842406403068560	139	51	2240	784	2333
7245629693088809338	86	112	1344	1792	2240
2081971245504254851	97	-124	1552	-2048	2570
8499319239559825798	-116	-18	-1824	-256	1842
5767041640659514864	-31	-92	-464	-1456	1088
-95800649244237449	-86	123	-1408	1984	2241
-2092302658986602900	-26	-84	-416	-1312	1293
-363483351989038391	-65	-130	-1056	-2064	2318
-3236498439236103690	-31	107	-464	1680	1743
-7139430466283787547	105	-13	1616	-224	1524
6325487994636899108	-107	-96	-1728	-1488	2309
-248923036354263389	-131	-13	-2096	-160	2102
-3765389920301000179	6	-154	128	-2464	2467
-7400357769475473256	26	-91	432	-1488	1549
8440490969890097268	-107	-130	-1680	-2096	2645
-8169347405695025652	158	-43	2512	-736	2618
8658915551951470803	-61	87	-944	1376	1589
8457097993683557768	92	-127	1504	-2016	2526
